Matric Number,Full Name,gender,date of birth,Faculty,department,programme,mode of entry,utme number,remark,dept_id,prog_id
242319,Temiloluwa Akinola Stella,FEMALE,1987-05-24,Education,Arts and Social Sciences Education,Arts and Social Sciences Education,UTME,XCaE6POKcPkC,graduated,71,
242954,Oluchukwu Ukoha Grace,FEMALE,1987-05-25,Law,Law,L.L.B. LAW,DE,vdiWGtL3sM5P,terminated,37,
242444,ENIOLA AKINOLA OREOLUWA,FEMALE,1987-05-26,Education,Early Childhood and Educational Foundations,Early Childhood and Educational Foundations,UTME,ko0zc8mu6lLf,graduated,73,
241902,Shalom Michael Oseiwe,MALE,1987-05-27,Clinical Sciences,Medicine and Surgery,Medicine and Surgery,DE,hS5gmtQeQ1oT,terminated,27,
241680,Michael Lawson Aduragbemi,MALE,1987-05-28,Basic Medical Sciences,Biochemistry,Biochemistry,UTME,EEAT8I5anRt7,graduated,23,
242156,Oluwaseun Akano Opeyemi,FEMALE,1987-05-29,Economics and Management Sciences,Economics,Economics,DE,KJvziSbE008P,terminated,29,
242020,Emiola Adeosun Deborah,FEMALE,1987-05-30,Clinical Sciences,Physiotherapy,Physiotherapy,UTME,9FBOQRxBDymC,graduated,26,
242032,Peace Ani Chimdiomimi,FEMALE,1987-05-31,Clinical Sciences,Physiotherapy,Physiotherapy,DE,GCtPyLIAdlZl,terminated,26,
243305,Deborah Oluwadahunsola Ayanfeoluwa,FEMALE,1987-06-01,Science,Botany,Botany,UTME,b3ILXIlrocEb,graduated,47,
243364,Kelvin Ekairia Israel,MALE,1987-06-02,Science,Chemistry,Chemistry,DE,PSj0zbxooihY,terminated,48,
241567,Mariam Omololu Eniola,FEMALE,1987-06-03,Arts,Philosophy,Philosophy,UTME,3IdqwRpezLHj,graduated,18,
242628,Goodness Afolabi Oluwanifemi,FEMALE,1987-06-04,Education,"Library, Archival and Information Studies","Library, Archival and Information Studies",DE,e3MDlJiYMu5e,terminated,35,
244504,Esther Onifade Fikayo,FEMALE,1987-06-05,Veterinary Medicine,Veterinary Medicine,Veterinary Medicine,UTME,S1BsEsgm62FU,graduated,68,
244471,Kehinde Ifanayajo Esther,FEMALE,1987-06-06,Veterinary Medicine,Veterinary Medicine,Veterinary Medicine,DE,V1g9BJcHi3ll,terminated,68,
242861,Emmanuel Bamigbade Oluwaferanmi,MALE,1987-06-07,Law,Law,L.L.B. LAW,UTME,pKyORMJ12wz0,graduated,37,
241894,Caleb Irabor Chijioke,MALE,1987-06-08,Clinical Sciences,Medicine and Surgery,Medicine and Surgery,DE,heiGNtaD4HZR,terminated,27,
243924,Abdulsalam Shoaga Pelumi,MALE,1987-06-09,Technology,Civil Engineering,Civil Engineering,UTME,shGZKCghAWIi,graduated,58,
242950,Oluwatobiloba Samson Sharon,FEMALE,1987-06-10,Law,Law,L.L.B. LAW,DE,2u9vWlN0ABQI,terminated,37,
243578,Oluwatobiloba Hambolu David,MALE,1987-06-11,Science,Mathematics,Mathematics,UTME,AfcA2cbV2h1R,graduated,52,
243551,Oluwatobiloba Adeniran Dominion,MALE,1987-06-12,Science,Mathematics,Mathematics,DE,BgPUYGUmqJLx,terminated,52,
241900,Tijesunimi Majolagbe Elijah,MALE,1987-06-13,Clinical Sciences,Medicine and Surgery,Medicine and Surgery,UTME,FcU3zZN5OI7B,graduated,27,
243544,Abdulquadri Abdulkareem Amaoo,MALE,1987-06-14,Science,Mathematics,Mathematics,DE,yTWb8OpBZGpA,terminated,52,
244437,Oluwadarasimi Adeoti Adeoluwa,MALE,1987-06-15,Veterinary Medicine,Veterinary Medicine,Veterinary Medicine,UTME,rp0N2pYG41rH,graduated,68,
242769,Oluwademilade Ogundipe Molaju,MALE,1987-06-16,Environmental Design and Management,Architecture,Architecture,DE,Za334f1qc1FD,terminated,76,
241088,Oluwafunmibi Adewale Adeolu,MALE,1987-06-17,Arts,Archaeology and Anthropology (Arts),Archaeology and Anthropology (Arts),UTME,qmfOWj2TMcXI,graduated,79,
242563,Oyindamola Oshitelu Ejironike,FEMALE,1987-06-18,Education,Counselling and Human Development Studies,Counselling and Human Development Studies,DE,t9AuP3VZEhxM,terminated,33,
242723,Fatimah Akinade Modasola,FEMALE,1987-06-19,Education,Special Education,Special Education,UTME,m0FzjnY51fSq,graduated,36,
243458,CHRISTINE INOK BASSEY,FEMALE,1987-06-20,Science,Computer Science,B.SC. (COMPUTER SCIENCE),DE,Z14v3uJJevJY,suspended,49,
243804,Jesutofunmi Aina Gideon,MALE,1987-06-21,Technology,Agricultural and Environmental Engineering,Agricultural and Environmental Engineering,UTME,OL1oWw6aiSKh,graduated,57,
243960,Jafar Ibrahim Olamiposi,MALE,1987-06-22,Technology,Electrical and Electronics Engineering,Electrical and Electronics Engineering,DE,RfAhqiwYN1LU,terminated,59,
242162,Emmanuel Bolatito Ekeminiabasi,MALE,1987-06-23,Economics and Management Sciences,Economics,Economics,UTME,KK39hcTOkfG8,graduated,29,
241762,Oluwatobi Aro Faruq,MALE,1987-06-24,Basic Medical Sciences,Physiology,Physiology,DE,MDszpkKqnkPL,terminated,24,
243953,Ebenezer Bepule Naab,MALE,1987-06-25,Technology,Electrical and Electronics Engineering,Electrical and Electronics Engineering,UTME,1wovGMYvHCmQ,graduated,59,
244507,Adenike Oshin Princess,FEMALE,1987-06-26,Veterinary Medicine,Veterinary Medicine,Veterinary Medicine,DE,JGwMl7s2vuqZ,terminated,68,
242629,Splendor Ajamah Omodafe,MALE,1987-06-27,Education,"Library, Archival and Information Studies","Library, Archival and Information Studies",UTME,l4O0dLinc1Op,graduated,35,
243587,Prince Nwachinemere Chimeremeze,MALE,1987-06-28,Science,Mathematics,Mathematics,DE,JAbQPsx26i9g,terminated,52,
244219,Joel Adejimi Oluwademilade,MALE,1987-06-29,The Social Sciences,Political Science,Political Science,UTME,Bvbal71CBOAC,graduated,65,
241630,Charles Oyesola Olubukola,MALE,1987-06-30,Arts,Theatre Arts,Theatre Arts,DE,sRpY3Z4mn7NO,terminated,20,
244510,Abdulbasit Qasim Ayomide,MALE,1987-07-01,Veterinary Medicine,Veterinary Medicine,Veterinary Medicine,UTME,3pkU8DM9GEph,graduated,68,
242426,Oluwadarasimi Samuel Racheal,FEMALE,1987-07-02,Education,Arts and Social Sciences Education,Arts and Social Sciences Education,DE,ie9wVH6GKnWW,terminated,71,
244101,Omowonuola Enyoisi Emmanuel,MALE,1987-07-03,Technology,Mechanical Engineering,Mechanical Engineering,UTME,66v8zcCeDVXh,graduated,62,
243255,Obafemi Daramola Daniel,MALE,1987-07-04,Science,Archaeology and Anthropology (Science),Archaeology and Anthropology (Science),DE,CdzAmStwWoS2,terminated,80,
242842,Emmanuel Ajayi Ayobami,MALE,1987-07-05,Law,Law,L.L.B. LAW,UTME,BVI9QuHvBV2V,graduated,37,
242865,Oluwatobilola Biobaku Oluwadurotimi,MALE,1987-07-06,Law,Law,L.L.B. LAW,DE,hsYDmqNK6sPu,terminated,37,
244313,Ayomide Lawal Oluwadamilare,MALE,1987-07-07,The Social Sciences,Psychology,Psychology,UTME,Ns74xcIf6nmq,graduated,66,
242259,Tumininu Ogundele Dorcas,FEMALE,1987-07-08,Education,Adult Education,Adult Education,DE,SnMzv8PZyBKe,terminated,31,
242739,Chioma Ndubuaku Stephanie,FEMALE,1987-07-09,Education,Special Education,Special Education,UTME,9nWs3AAR236W,graduated,36,
242650,Sharon Ogedegbe Unelojo,FEMALE,1987-07-10,Education,"Library, Archival and Information Studies","Library, Archival and Information Studies",DE,gSVpKebX9Abi,terminated,35,
241945,Oluwatobiloba Osunwole Emmanuel,MALE,1987-07-11,Clinical Sciences,Medicine and Surgery,Medicine and Surgery,UTME,n78UYoKKd06W,graduated,27,
241634,Oyindamola Salisu Samuel,MALE,1987-07-12,Arts,Theatre Arts,Theatre Arts,DE,HIV0rJSJ9YTb,terminated,20,
241566,Aanuoluwapo Olajide Elizabeth,FEMALE,1987-07-13,Arts,Philosophy,Philosophy,UTME,aUX2BabKvPD6,graduated,18,
242344,Anjolaoluwa Daramola Oluwabusola,FEMALE,1987-07-14,Education,Arts and Social Sciences Education,Arts and Social Sciences Education,DE,Es7dvvIvM25a,terminated,71,
244458,Ore-Ofe Arinola Daniel,MALE,1987-07-15,Veterinary Medicine,Veterinary Medicine,Veterinary Medicine,UTME,ijfudcNGCMKI,graduated,68,
242857,Angel Asifat Olamide,FEMALE,1987-07-16,Law,Law,L.L.B. LAW,DE,hbG5Us4Z7Ys9,terminated,37,
241519,Mercy Adesina Adewole,MALE,1987-07-17,Arts,Philosophy,Philosophy,UTME,v0Cy2e3WrSyy,graduated,18,
243230,Deborah Ajayi Oluwatunmise,FEMALE,1987-07-18,Renewable Natural Resources,Wildlife and Ecotourism Management,Wildlife and Ecotourism Management,DE,bPhQs8q9tWeL,terminated,43,
242325,Alice Apara Arinola,FEMALE,1987-07-19,Education,Arts and Social Sciences Education,Arts and Social Sciences Education,UTME,2YEMfBJZcZAA,graduated,71,
241006,Khadijat Asafa Feranmi,FEMALE,1987-07-20,Agriculture,Crop Protection and Environmental Biology,Crop Protection and Environmental Biology,DE,UGReFfhcoaD8,terminated,7,
241359,Paul Ogungbola Oluwatobiloba,MALE,1987-07-21,Arts,European Studies,European Studies,UTME,1jL0AXYSxN3n,graduated,14,
243164,Joanna Ogunkola Toluwani,FEMALE,1987-07-22,Public Health,Human Nutrition and Dietetics,Human Nutrition and Dietetics,DE,MrfvWCBVOa35,terminated,40,
242465,David Adidi Oshoke,MALE,1987-07-23,Education,Educational Management,Educational Management,UTME,D4QGziuiPl0h,graduated,32,
241140,Nimotallahi Sanusi Opeyemi,FEMALE,1987-07-24,Arts,Archaeology and Anthropology (Arts),Archaeology and Anthropology (Arts),DE,cJnW74Jk9EQb,terminated,79,
241156,Eniola Afolabi Mary,FEMALE,1987-07-25,Arts,Classical Studies,Classical Studies,UTME,DVQx0F5WKdg3,graduated,21,
242943,Arike Oyewole Mary,FEMALE,1987-07-26,Law,Law,L.L.B. LAW,DE,TD4xrKljJf82,terminated,37,
241247,Mercy Ovai Reuben,FEMALE,1987-07-27,Arts,Communication and Language Arts,Communication and Language Arts,UTME,XBZayB1fjOt5,graduated,12,
243483,Adeoluwa Shittu Emmanuel,MALE,1987-07-28,Science,Computer Science,B.SC. (COMPUTER SCIENCE),DE,7AiS8e0Z3Biz,suspended,49,
241780,Alicia Mehuobi Amarachi,FEMALE,1987-07-29,Basic Medical Sciences,Physiology,Physiology,UTME,VxOfzsE81271,graduated,24,
242845,Abdulrahman Akamo Adewale,MALE,1987-07-30,Law,Law,L.L.B. LAW,DE,EpkyVpN6vYxt,terminated,37,
242957,Abdulmueez Abdulrasak Oyindolapo,MALE,1987-07-31,Pharmacy,Pharmacy,Pharmacy,UTME,dBgR9rMw9tWj,graduated,38,
243357,Ameerah Bankole Odunola,FEMALE,1987-08-01,Science,Chemistry,Chemistry,DE,S0ASQHFWFNoI,terminated,48,
242917,Folakemi Ojalatan Favour,FEMALE,1987-08-02,Law,Law,L.L.B. LAW,UTME,BBXhvFCC6WON,graduated,37,
241632,Fatimah Raji Abolore,FEMALE,1987-08-03,Arts,Theatre Arts,Theatre Arts,DE,LMrVMROchg5c,terminated,20,
242047,Victor Ojo Olaoluwa,MALE,1987-08-04,Clinical Sciences,Physiotherapy,Physiotherapy,UTME,PJY7bB7ebl4v,graduated,26,
242934,Rhoda Olise Chiyenum,FEMALE,1987-08-05,Law,Law,L.L.B. LAW,DE,8whU14Jtstlx,terminated,37,
242365,Oghenerukevwe Imonina Maryann,FEMALE,1987-08-06,Education,Arts and Social Sciences Education,Arts and Social Sciences Education,UTME,4oGqduV2htmK,graduated,71,
244285,Oluwatosin Adelakun Esther,FEMALE,1987-08-07,The Social Sciences,Psychology,Psychology,DE,aCLB5EOlOP71,terminated,66,
244521,Erere Osayi Divine,MALE,1987-08-08,The Social Sciences,Political Science,Political Science,UTME,ybHwNmoAKCmf,graduated,65,
244316,Eunice Mamman Dah,FEMALE,1987-08-09,The Social Sciences,Psychology,Psychology,DE,N9tRoXwGZ1mA,terminated,66,
241744,Praise Adebayo Adewale,MALE,1987-08-10,Basic Medical Sciences,Physiology,Physiology,UTME,GAZGYHSKzw1q,graduated,24,
243537,Bright Omoemi Shadrach,MALE,1987-08-11,Science,Geology,Geology,DE,Izp5hlKwuzFb,terminated,51,
242882,Zainab Gafaar Bisola,FEMALE,1987-08-12,Law,Law,L.L.B. LAW,UTME,lb4Fb88VqzxW,graduated,37,
241511,Hikmat Adebisi Olashubomi,FEMALE,1987-08-13,Arts,Philosophy,Philosophy,DE,jYYS1aWhfXqg,terminated,18,
242561,Khadijat Omosunlade Adenike,FEMALE,1987-08-14,Education,Counselling and Human Development Studies,Counselling and Human Development Studies,UTME,qNUOoWCgTz8G,graduated,33,
242937,Treasure Omodara Temiloluwa,FEMALE,1987-08-15,Law,Law,L.L.B. LAW,DE,U8ucs9G44IbU,terminated,37,
241522,Jessica Aipoh Oshone,FEMALE,1987-08-16,Arts,Philosophy,Philosophy,UTME,iJuIe93y2e2l,graduated,18,
242186,Wisdom Okoko Anwafuabe,MALE,1987-08-17,Economics and Management Sciences,Economics,Economics,DE,1rXb9B5HubtE,terminated,29,
243403,Great Orji Chima,MALE,1987-08-18,Science,Chemistry,Chemistry,UTME,H6Id9i2SLb2r,graduated,48,
241170,Jedidiah Ogunkola Temiloluwa,MALE,1987-08-19,Arts,Classical Studies,Classical Studies,DE,lKkB66OTlaFm,terminated,21,
241218,Charis Itua Anjolaoluwa,FEMALE,1987-08-20,Arts,Communication and Language Arts,Communication and Language Arts,UTME,MYG79jOTu1AQ,graduated,12,
242966,Abdulraman Adejumo Adekunle,MALE,1987-08-21,Pharmacy,Pharmacy,Pharmacy,DE,3GWK4yIPJtAw,terminated,38,
242856,Funmilayo Arogbonlo Jolyn,FEMALE,1987-08-22,Law,Law,L.L.B. LAW,UTME,9cyqVFXwbdO1,graduated,37,
244513,Omogbolade Sowunmi Chukwufunanya,FEMALE,1987-08-23,Veterinary Medicine,Veterinary Medicine,Veterinary Medicine,DE,0xX0kaIHn6xt,terminated,68,
244074,Israel Omoemi Meshach,MALE,1987-08-24,Technology,Industrial and Production Engineering,Industrial and Production Engineering,UTME,K5T2eg9FnU7i,graduated,61,
242578,Busolami Francis Maotan,FEMALE,1987-08-25,Education,Health Education,Health Education,DE,hi0ZcNbIHLuw,terminated,88,
241718,Oluwatobiloba Fayese Michael,MALE,1987-08-26,Basic Medical Sciences,BioMedical Laboratory Science,BioMedical Laboratory Science,UTME,URTV3Vb2AiH4,graduated,22,
240908,Aishat Balogun Moyosola,FEMALE,1987-08-27,Agriculture,Agricultural Extension and Rural Development,Agricultural Extension and Rural Development,DE,p02k9lM76YY9,terminated,2,
241827,Teniola Adesanya Grace,FEMALE,1987-08-28,Clinical Sciences,Medicine and Surgery,Medicine and Surgery,UTME,VJjHYzJt1tvv,graduated,27,
243382,Bright Newton Oyindamola,MALE,1987-08-29,Science,Chemistry,Chemistry,DE,oz0oQif8Cidr,terminated,48,
244383,Anita Dennis Chinecherem,FEMALE,1987-08-30,The Social Sciences,Sociology,Sociology,UTME,LrkmjexJA38S,graduated,67,
241867,Timothy Bako ,MALE,1987-08-31,Clinical Sciences,Medicine and Surgery,Medicine and Surgery,DE,7GslvP49GecU,terminated,27,
244357,Oluwabukola Adekunle Iremitide,FEMALE,1987-09-01,The Social Sciences,Sociology,Sociology,UTME,XCaE6POKcPkC,graduated,67,
244377,April Ayoade Ayomide,FEMALE,1987-09-02,The Social Sciences,Sociology,Sociology,DE,vdiWGtL3sM5P,terminated,67,
242869,Cherish Daramola Oluwapelumi,FEMALE,1987-09-03,Law,Law,L.L.B. LAW,UTME,ko0zc8mu6lLf,graduated,37,
244234,Ayomide Akinsola Kuwam,MALE,1987-09-04,The Social Sciences,Political Science,Political Science,DE,hS5gmtQeQ1oT,terminated,65,
241720,Zainab Idris Omowumi,FEMALE,1987-09-05,Basic Medical Sciences,BioMedical Laboratory Science,BioMedical Laboratory Science,UTME,EEAT8I5anRt8,graduated,22,
243072,Ifeoluwa Adeobaniyi Peace,FEMALE,1987-09-06,Public Health,Environmental Health Science,Environmental Health Science,DE,KJvziSbE008P,terminated,39,
241648,Deborah Adeniyi Timileyin,FEMALE,1987-09-07,Basic Medical Sciences,Biochemistry,Biochemistry,UTME,9FBOQRxBDymC,graduated,23,
244236,Mary Aribisala Ifeoluwa,FEMALE,1987-09-08,The Social Sciences,Political Science,Political Science,DE,GCtPyLIAdlZl,terminated,65,
242262,Iyanuayo Olabiyi Hannah,FEMALE,1987-09-09,Education,Adult Education,Adult Education,UTME,b3ILXIlrocEb,graduated,31,
243492,Olakunle Idowu Oluwapelumi,MALE,1987-09-10,Science,Geography (Science),Geography (Science),DE,PSj0zbxooihY,terminated,50,
244178,Barakat Kareem Adefunke,FEMALE,1987-09-11,Technology,Petroleum Engineering,Petroleum Engineering,UTME,3IdqwRpezLHj,graduated,63,
243124,Rabiat Afolabi Adebimpe,FEMALE,1987-09-12,Public Health,Human Nutrition and Dietetics,Human Nutrition and Dietetics,DE,e3MDlJiYMu5e,terminated,40,
244040,Aaliyah Dokpesi Etseoghena,FEMALE,1987-09-13,Technology,Industrial and Production Engineering,Industrial and Production Engineering,UTME,S1BsEsgm62FU,graduated,61,
242519,Mubarak Adejumo Busayo,MALE,1987-09-14,Education,Counselling and Human Development Studies,Counselling and Human Development Studies,DE,V1g9BJcHi3ll,terminated,33,
241122,Olumide Okwudinka Daniel,MALE,1987-09-15,Arts,Archaeology and Anthropology (Arts),Archaeology and Anthropology (Arts),UTME,pKyORMJ12wz1,graduated,79,
242905,Emmanuel Martins Oluwasegun,MALE,1987-09-16,Law,Law,L.L.B. LAW,DE,heiGNtaD4HZR,terminated,37,
242334,Gideon Ayoola Atanda,MALE,1987-09-17,Education,Arts and Social Sciences Education,Arts and Social Sciences Education,UTME,shGZKCghAWIi,graduated,71,
243657,Halimah Raji Ayodeji,FEMALE,1987-09-18,Science,Microbiology,Microbiology,DE,2u9vWlN0ABQI,terminated,53,
241774,Blessing John Amarachi,FEMALE,1987-09-19,Basic Medical Sciences,Physiology,Physiology,UTME,AfcA2cbV2h1R,graduated,24,
242006,Deborah Olaomo Oluwagbeyidide,FEMALE,1987-09-20,Clinical Sciences,Nursing,Nursing,DE,BgPUYGUmqJLx,terminated,25,
244416,Motitolani Oluyide Deborah,FEMALE,1987-09-21,The Social Sciences,Sociology,Sociology,UTME,FcU3zZN5OI7B,graduated,67,
242429,Olamide Soladoye Azeezah,FEMALE,1987-09-22,Education,Arts and Social Sciences Education,Arts and Social Sciences Education,DE,yTWb8OpBZGpA,terminated,71,
242932,Praise Olatunji Mobolaji,FEMALE,1987-09-23,Law,Law,L.L.B. LAW,UTME,rp0N2pYG41rH,graduated,37,
244371,Deborah Akinwale Adedayo,FEMALE,1987-09-24,The Social Sciences,Sociology,Sociology,DE,Za334f1qc1FD,terminated,67,
241115,Rodiat Isiaq Ayomide,FEMALE,1987-09-25,Arts,Archaeology and Anthropology (Arts),Archaeology and Anthropology (Arts),UTME,qmfOWj2TMcXI,graduated,79,
242037,Emmanuella Danisa Toluwanimi,FEMALE,1987-09-26,Clinical Sciences,Physiotherapy,Physiotherapy,DE,t9AuP3VZEhxM,terminated,26,
242290,Abigeal Adeleye Oluwatomiloba,FEMALE,1987-09-27,Education,Arts and Social Sciences Education,Arts and Social Sciences Education,UTME,m0FzjnY51fSq,graduated,71,
242898,Deborah Josiah Aghogho,FEMALE,1987-09-28,Law,Law,L.L.B. LAW,DE,Z14v3uJJevJY,terminated,37,
244269,Olubukola Onifade Ruth,FEMALE,1987-09-29,The Social Sciences,Political Science,Political Science,UTME,OL1oWw6aiSKh,graduated,65,
242999,Olaifeoluwa Ayodeji Oyindamola,FEMALE,1987-09-30,Pharmacy,Pharmacy,Pharmacy,DE,RfAhqiwYN1LU,terminated,38,
243024,Olusegun Iyiola Debami,MALE,1987-10-01,Pharmacy,Pharmacy,Pharmacy,UTME,KK39hcTOkfG9,graduated,38,
241410,Precious Odoje Olamide,FEMALE,1987-10-02,Arts,History,History,DE,MDszpkKqnkPL,terminated,15,
244247,Joseph Idowu-Oludele Ayodamola,MALE,1987-10-03,The Social Sciences,Political Science,Political Science,UTME,1wovGMYvHCmQ,graduated,65,
244224,Taiwo Adepoju Roheemot,FEMALE,1987-10-04,The Social Sciences,Political Science,Political Science,DE,JGwMl7s2vuqZ,terminated,65,
242503,Ramota Oliyo Adeyinka,FEMALE,1987-10-05,Education,Educational Management,Educational Management,UTME,l4O0dLinc1Op,graduated,32,
242198,Amarachi Onyebuchi Marvellous,MALE,1987-10-06,Economics and Management Sciences,Economics,Economics,DE,JAbQPsx26i9g,terminated,29,
243516,Naomi Braimoh Omonojemafe,FEMALE,1987-10-07,Science,Geology,Geology,UTME,Bvbal71CBOAC,graduated,51,
241112,Odunayo Hamzat-Adeniran Aderonke,FEMALE,1987-10-08,Arts,Archaeology and Anthropology (Arts),Archaeology and Anthropology (Arts),DE,sRpY3Z4mn7NO,terminated,79,
241101,Isaac Ayodele Ayomide,MALE,1987-10-09,Arts,Archaeology and Anthropology (Arts),Archaeology and Anthropology (Arts),UTME,3pkU8DM9GEph,graduated,79,
242197,Oluwatamilore Onanuga Daniel,MALE,1987-10-10,Economics and Management Sciences,Economics,Economics,DE,ie9wVH6GKnWW,terminated,29,
241144,Abidemi Abayomi Ibukun,FEMALE,1987-10-11,Arts,Classical Studies,Classical Studies,UTME,66v8zcCeDVXh,graduated,21,
244306,Ayomide Dada Patrick,MALE,1987-10-12,The Social Sciences,Psychology,Psychology,DE,CdzAmStwWoS3,terminated,66,
244298,Oluwatobiloba Ayodeji Hephzibah,FEMALE,1987-10-13,The Social Sciences,Psychology,Psychology,UTME,BVI9QuHvBV2V,graduated,66,
241109,Ajoke Eyinfunjowo Olamide,FEMALE,1987-10-14,Arts,Archaeology and Anthropology (Arts),Archaeology and Anthropology (Arts),DE,hsYDmqNK6sPu,terminated,79,
243032,Taiwo Ojedele Gabriel,MALE,1987-10-15,Pharmacy,Pharmacy,Pharmacy,UTME,Ns74xcIf6nmq,graduated,38,
241114,Lucky Iloh Uchechukwu,MALE,1987-10-16,Arts,Archaeology and Anthropology (Arts),Archaeology and Anthropology (Arts),DE,SnMzv8PZyBKe,terminated,79,
241201,Obehi Aneni Martina,FEMALE,1987-10-17,Arts,Communication and Language Arts,Communication and Language Arts,UTME,9nWs3AAR236W,graduated,12,
244457,Justin Aneni Ekiose,MALE,1987-10-18,Veterinary Medicine,Veterinary Medicine,Veterinary Medicine,DE,gSVpKebX9Abi,terminated,68,
243069,Oluwabunmi Adebayo Esther,FEMALE,1987-10-19,Public Health,Environmental Health Science,Environmental Health Science,UTME,n78UYoKKd06W,graduated,39,
241187,Olatunde Soniyi Rapheal,MALE,1987-10-20,Arts,Classical Studies,Classical Studies,DE,HIV0rJSJ9YTb,terminated,21,
244053,Oluwadamilola Ipeayeda Faith,FEMALE,1987-10-21,Technology,Industrial and Production Engineering,Industrial and Production Engineering,UTME,aUX2BabKvPD7,graduated,61,
243791,Mahmood Abdulkareem Olanrewaju,MALE,1987-10-22,Technology,Agricultural and Environmental Engineering,Agricultural and Environmental Engineering,DE,Es7dvvIvM25a,terminated,57,
243838,Praise Omosanya Oluwafisayo,MALE,1987-10-23,Technology,Agricultural and Environmental Engineering,Agricultural and Environmental Engineering,UTME,ijfudcNGCMKI,graduated,57,
244374,Faith Anthony Chioma,FEMALE,1987-10-24,The Social Sciences,Sociology,Sociology,DE,hbG5Us4Z7Ys10,terminated,67,
243754,Lateef Oladapo Anuoluwapo,MALE,1987-10-25,Science,Statistics,Statistics,UTME,v0Cy2e3WrSyy,graduated,55,
243239,Anuoluwapo Olayiwola Blessing,FEMALE,1987-10-26,Renewable Natural Resources,Wildlife and Ecotourism Management,Wildlife and Ecotourism Management,DE,bPhQs8q9tWeL,terminated,43,
242153,Mukhlis Agbaje Openifoluwa,MALE,1987-10-27,Economics and Management Sciences,Economics,Economics,UTME,2YEMfBJZcZAA,graduated,29,
244360,Adesoji Adetoso Victor,MALE,1987-10-28,The Social Sciences,Sociology,Sociology,DE,UGReFfhcoaD9,terminated,67,
244045,Oloruntobiloba Famoriyo Boluwatife,FEMALE,1987-10-29,Technology,Industrial and Production Engineering,Industrial and Production Engineering,UTME,1jL0AXYSxN3n,graduated,61,
241416,Victoria Oludare Omoponle,FEMALE,1987-10-30,Arts,History,History,DE,MrfvWCBVOa36,terminated,15,
241563,Dorcas Okusanya Oluwatoyosi,FEMALE,1987-10-31,Arts,Philosophy,Philosophy,UTME,D4QGziuiPl0h,graduated,18,
241887,Haneefah Ibraheem Sikeade,FEMALE,1987-11-01,Clinical Sciences,Medicine and Surgery,Medicine and Surgery,DE,cJnW74Jk9EQb,terminated,27,
244311,Blessing Isamah Chiamaka,FEMALE,1987-11-02,The Social Sciences,Psychology,Psychology,UTME,DVQx0F5WKdg4,graduated,66,
242205,Inioluwa Sotunde Olawanle,FEMALE,1987-11-03,Economics and Management Sciences,Economics,Economics,DE,TD4xrKljJf83,terminated,29,
241698,Nnaemeka Ottih Franklin,MALE,1987-11-04,Basic Medical Sciences,Biochemistry,Biochemistry,UTME,XBZayB1fjOt6,graduated,23,
243997,Korede Falola Abraham,MALE,1987-11-05,Technology,Food Technology,Food Technology,DE,7AiS8e0Z3Biz,terminated,60,
241574,Williams Shodiya Olajide,MALE,1987-11-06,Arts,Philosophy,Philosophy,UTME,VxOfzsE81272,graduated,18,
241228,Racheal Odeh Onyeje,FEMALE,1987-11-07,Arts,Communication and Language Arts,Communication and Language Arts,DE,EpkyVpN6vYxt,terminated,12,
